#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
d06547cc97834ce78d7a4a51cc2c0988,1,0,0,1,1,0,0,0,1,226,,19,0,0,0,0,0,0
b7a4e3599fa84e4da5764061a8ba28ae,1,0,0,1,1,0,0,0,1,223,,23,0,0,0,0,0,0
ee489f50d48d4e68ab26824e9ba7b384,1,0,0,1,1,0,0,0,1,199,,14,0,0,0,0,0,0
971b67616843437e970d71bc697ce319,1,0,0,1,1,0,0,0,1,187,,31,0,0,0,0,0,0
590562c0e5c846bfaf3de7ca8b771f19,1,0,0,1,1,0,0,0,1,132,,16,0,0,0,0,0,0
fa8269fe4a3c4f6c9a218d088517b4a3,1,0,0,1,1,0,0,0,1,30,,9,0,0,0,0,0,0
febb18ad3240409daa77e81a03ee28cd,1,0,0,1,1,0,0,0,1,26,,8,0,0,0,0,0,0
73cd333bc711460b991bb5e974b45bca,1,0,0,1,1,0,0,0,1,1,,5,0,0,0,0,0,0
f3982c944aac404f9ba2e9dfabdefd2a,1,0,0,1,1,0,0,0,1,1,,3,0,0,0,0,0,0
ecc701ad982b4002a0b0e417bbcab305,1,0,0,1,1,0,0,0,0,2703,43.25,78,0,0,0,0,0,0
eff3f192db3d4f1e9d2a01a72c58407d,1,0,0,1,1,0,0,0,0,2557,1120,54,0,0,0,0,0,0
1eb60b91f00f4f2fbfb66482e34d7028,1,0,0,1,1,0,0,0,0,1756,16,50,0,0,0,0,1,2
f35972fd8783450eae44eaf3d1c140a5,1,0,0,1,1,0,0,0,0,1451,,18,0,0,0,0,0,0
6ff02a8b15c14a26a20f3d7ae46817b8,1,0,0,1,1,0,0,0,0,794,,42,0,1,1,1,0,0
3a5fd6f3b2ef47bf827a6fae953d88af,1,0,0,1,1,0,0,0,0,723,16.666666666666668,17,0,0,0,0,1,0
7c67695b80df4809abb69aefe8ef5029,1,0,0,1,1,0,0,0,0,592,,20,0,0,0,0,0,0
cf77892ef7004dc7b2118f2e50d5f385,1,0,0,1,1,0,0,0,0,332,,15,0,0,0,0,0,0
26fd085609ff4f029ecbe16f2b87e2c1,1,0,0,1,1,0,0,0,0,284,,36,0,0,0,0,0,0
4bc024428b324a0190a53f65f63db94b,1,0,0,1,1,0,0,0,0,278,124,25,0,0,0,0,0,0
63745fd3835c4df39a73b30d167cff05,1,0,0,1,1,0,0,0,0,222,,47,0,0,0,0,2,0
6bafd77f5ff84dbb9dd6504cc000aa6d,1,0,0,1,1,0,0,0,0,209,,18,0,0,0,0,0,0
a69b485320114a5abb8bfdfaa7f10b6e,1,0,0,1,1,0,0,0,0,197,40,48,0,0,0,0,0,0
d1674bdd2b134df58963db6ffaceb568,1,0,0,1,1,0,0,0,0,196,,32,0,0,0,0,0,0
8c12cf66f1df450c869113369acaeb97,1,0,0,1,1,0,0,0,0,185,8,31,0,0,0,0,1,0
83b5895e6db0451cbe54d25746804027,1,0,0,1,1,0,0,0,0,183,,14,0,0,0,0,0,0
1336d04878634848a17d106b07dc7f1e,1,0,0,1,1,0,0,0,0,160,,31,0,0,0,0,0,0
b8cb3d86586b4852894ded5c544354f1,1,0,0,1,1,0,0,0,0,122,,39,0,0,0,0,0,0
35ad4d1256da4bca81683ea3fda37107,1,0,0,1,1,0,0,0,0,109,21,24,0,0,0,0,2,0
4a9fb033b6d64ac1a02ac1b0fcc1a9a2,1,0,0,1,1,0,0,0,0,107,,16,0,0,0,0,0,0
d83f7856cf6d4eac91d964a9667350c2,1,0,0,1,1,0,0,0,0,95,,20,0,0,0,0,0,0
b7bd7accd6be4b3d86c00df920afede1,1,0,0,1,1,0,0,0,0,80,4,16,0,0,0,0,0,0
b8aa149823524101bd95b27a828e3638,1,0,0,1,1,0,0,0,0,45,,14,0,0,0,0,0,0
c99e6e3825b84c759c460659e9862f80,1,0,0,1,1,0,0,0,0,28,,12,0,0,0,0,0,0
c884f2d89e004e398ba06833ba631b22,1,0,0,1,1,0,0,0,0,19,,8,0,0,0,0,0,0
898353cedec144bc98ceaf884207c3af,1,0,0,1,1,0,0,0,0,14,1,11,0,0,0,0,0,0
b09986927a9342d8b732073e835233d8,1,0,0,1,1,0,0,0,0,6,,6,0,0,0,0,0,0
aa41a3991e654e7cada7f7444fd8ad79,1,0,0,1,0,1,1,0,0,361,12,26,0,0,0,0,0,0
dab5f6da2e18423f96df61a7b312a5fa,1,0,0,1,0,1,1,0,0,51,,10,0,0,0,0,0,0
11762d8e7daf4e769516fd5bcc9652fc,1,0,0,1,0,1,0,1,0,2344,,70,0,0,0,0,0,0
ea57162f99e341398160e9786889cd7a,1,0,0,1,0,1,0,1,0,1765,17,28,0,0,0,0,0,0
5df1b19b68f9401fa59f65e1021326a0,1,0,0,1,0,1,0,1,0,1549,20,17,0,0,0,0,0,0
2fb7d8e6b53444419d1e3933e8a339d9,1,0,0,1,0,1,0,1,0,1343,,84,0,0,0,0,0,0
4c79f74c95ab4f32b153a5882dd4d267,1,0,0,1,0,1,0,1,0,1275,59,92,0,0,0,0,1,0
f2968d09344448219dc88a592cc35935,1,0,0,1,0,1,0,1,0,1228,25,80,0,0,0,0,1,0
8590a4f28a6d4635a524a710b20a4b81,1,0,0,1,0,1,0,1,0,453,8,69,0,0,0,0,2,0
0f7bd9586a62455883d6ed7ce264aba1,1,0,0,1,0,1,0,1,0,424,,14,0,0,0,0,0,0
e515441c53134613911facabb094bcf3,1,0,0,1,0,1,0,1,0,421,,98,0,0,0,0,0,0
1fe0b8e1eea54dbf97aa6fd7b115804a,1,0,0,1,0,1,0,1,0,398,26,45,0,0,0,0,1,0
a3ca1800e86b413eb9e898b35c53457f,1,0,0,1,0,1,0,1,0,315,,36,0,0,0,0,0,0
686975728c6c4690b3f70f39164f6d13,1,0,0,1,0,1,0,1,0,273,,19,0,0,0,0,0,0
046decdf34744395b6ae8c86a3ba5780,1,0,0,1,0,1,0,1,0,213,,12,0,0,0,0,0,0
a58b770ab59b4fdbb6cd7737a1d1266a,1,0,0,1,0,1,0,1,0,189,75,34,0,0,0,0,0,0
4dd09d85fb6046638730cd885252f0e7,1,0,0,1,0,1,0,1,0,128,,20,0,0,0,0,0,0
ab760ed43b834954beb0f04aca5fb3bb,1,0,0,1,0,1,0,1,0,106,,9,0,0,0,0,0,0
2a455c8c205e47dab219b998231c6df7,1,0,0,1,0,1,0,1,0,79,,15,0,0,0,0,0,0
b73618741f894251ad10f902498464c6,1,0,0,1,0,1,0,1,0,53,,14,0,0,0,0,0,0
83dbe1ebb0e949cc8ba01c5178249684,1,0,0,1,0,1,0,1,0,12,,8,0,0,0,0,0,0
15093cacc7f54bd4be25911878c5b0de,1,0,0,1,0,1,0,1,0,,,90,0,0,0,0,0,0
c6a4f23103a94f849504b12b80dd8eec,1,0,0,1,0,1,0,1,0,,,5,0,0,0,0,0,0
42050d6192ea43c996ec195e5559701d,1,0,0,1,0,1,0,0,1,1840,,43,0,0,0,0,1,0
cef55aa3915b4d8cb150c72376e50f8e,1,0,0,1,0,1,0,0,1,1576,,27,0,0,0,0,0,0
dc83437f0e58460e9442db0293154b96,1,0,0,1,0,1,0,0,1,1491,,35,0,0,0,0,0,0
2a7ffbe910294efcb9d9869b7a5be5bf,1,0,0,1,0,1,0,0,1,1464,340,45,0,0,0,0,1,0
231a4817cbef4217a68962512e4b955e,1,0,0,1,0,1,0,0,1,1075,152,50,0,1,0,0,0,0
0295ad7bc9b44fb386764b4603859171,1,0,0,1,0,1,0,0,1,1068,39,45,0,0,0,0,0,0
2d94bc5c875c457da7f2f839c21b07ed,1,0,0,1,0,1,0,0,1,848,10,32,0,0,0,1,0,0
b174fae446534eca847b15efec913d6c,1,0,0,1,0,1,0,0,1,814,238,41,0,0,0,0,2,0
0d81a6b6bb9e4de8a1ff60f8fc95693d,1,0,0,1,0,1,0,0,1,531,,22,0,0,0,0,0,0
a7aa8680e8c04f819463b334ba501d4f,1,0,0,1,0,1,0,0,1,437,,44,0,0,0,0,0,0
9f911b1c225b4f87afd8cd9e507148c9,1,0,0,1,0,1,0,0,1,414,9.5,56,0,0,0,0,0,0
8a67b038a1aa3c40bb96ee2bfb4f900d,1,0,0,1,0,1,0,0,1,200,,16,0,0,0,0,0,0
29428545118eca4aac249eeb542f9536,1,0,0,1,0,1,0,0,1,184,,33,0,1,0,0,1,0
4d41afb4a8eb495a8ef2ad7b816c098d,1,0,0,1,0,1,0,0,1,177,,11,0,0,0,0,0,0
f8a3618b8428418eb5085d28c531db51,1,0,0,1,0,1,0,0,1,173,,24,0,0,0,0,0,0
24291573e8f342abb381817be6208980,1,0,0,1,0,1,0,0,1,165,,8,0,0,0,0,0,0
0a3d18612c2049f1a1ceccf6fbbccd70,1,0,0,1,0,1,0,0,1,4,,28,0,0,0,0,0,0
e8c5ebf0eed19e40a4022ff6be78c5fb,1,0,0,1,0,1,0,0,0,1728,,4,0,0,0,0,0,0
