#=================================================================
# O365 Home - Buy
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Paid Orders_SJ (Visit)"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
183abe3cb38a403a8d214ee13cd74f91,0,0,1,1,0,0,1,0,0,0,0,1,206,,39,0,0,0,0,0,0,0
32855f5277d4487f8a8c1c5ea595bc87,0,0,1,1,0,0,1,0,0,0,0,1,126,3,17,0,0,0,0,0,0,0
ceb8219707f3427f91b17f76c3ecd79a,0,0,1,1,0,0,1,0,0,0,0,1,123,,3,0,0,0,0,0,0,0
b2f66245e38a4d3ea6c7921d9935604c,0,0,1,1,0,0,1,0,0,0,0,1,60,,6,0,0,0,0,0,0,0
d591f0f700824e429db644ec9da75ac3,0,0,1,1,0,0,1,0,0,0,0,1,51,,6,0,0,0,0,0,0,0
9f350bdaefa94bdcadcff7e52cd84175,0,0,1,1,0,0,1,0,0,0,0,1,48,,5,0,0,0,0,0,0,0
582c04d0f7f84303b183938c34b0095b,0,0,1,1,0,0,1,0,0,0,0,1,10,,4,0,0,0,0,0,0,0
c1ff2574be5f4ea9a97380c7bb03b665,0,0,1,1,0,0,1,0,0,0,0,1,7,,2,0,0,0,0,0,0,0
3568210207c347f0bb925309311f225a,0,0,1,1,0,0,1,0,0,0,0,1,,,1,0,0,0,0,0,0,0
9f1d088e94434e4a844ab5d2255b1596,0,0,1,1,0,0,1,0,0,0,0,1,,,1,0,0,0,0,0,0,0
d1004b294be5414aae988d58847b9768,0,0,1,1,0,0,1,0,0,0,0,0,324,,16,0,0,0,0,0,5,0
c9cabed9a1894128a7e28103e17c6b51,0,0,1,1,0,0,1,0,0,0,0,0,123,,1,0,0,0,0,0,0,0
0998ad6a51ef364db9a34ec2cd70569b,0,0,1,1,0,0,0,1,1,0,0,0,1007,257.5,71,0,0,0,0,0,0,0
505a707e8f8d45829f3a109b0d750512,0,0,1,1,0,0,0,1,1,0,0,0,751,,4,0,0,0,0,0,0,0
7207bf858b7b440bb7aeec6910e86fa2,0,0,1,1,0,0,0,1,1,0,0,0,352,15,6,0,0,0,0,0,0,0
b8d0e1806e454d11b6743f249d074030,0,0,1,1,0,0,0,1,1,0,0,0,201,37,5,0,0,0,0,0,0,0
42b8dfa936f44dec899f4e02e09749ba,0,0,1,1,0,0,0,1,1,0,0,0,130,,24,0,0,0,0,0,0,0
41b12fd67549c149844e61f3d1a0302f,0,0,1,1,0,0,0,1,1,0,0,0,111,,4,0,0,0,0,0,0,0
c8642222ce474ac4aa66838a189a72b9,0,0,1,1,0,0,0,1,1,0,0,0,68,,16,0,0,0,0,0,0,0
74885b23d4e0494f9050e468bed9c775,0,0,1,1,0,0,0,1,1,0,0,0,54,,8,0,0,0,0,1,0,0
99f5b6d7af7543b3b950d7dfbeebf20e,0,0,1,1,0,0,0,1,1,0,0,0,39,2,14,0,0,0,0,0,0,0
16e75d46e11a4bbbb35b5c684d30da32,0,0,1,1,0,0,0,1,1,0,0,0,34,,8,0,0,0,0,0,0,0
94a27dbbfcba483a9f4cadca77e1324e,0,0,1,1,0,0,0,1,1,0,0,0,27,9,3,0,0,0,0,0,0,0
fde9aa373ff74aa69527ad75a96ff0fc,0,0,1,1,0,0,0,1,1,0,0,0,24,,0,0,0,0,0,0,0,0
6cfaa23fb9ee4166bd2f48257c5b0cd9,0,0,1,1,0,0,0,1,1,0,0,0,19,,3,0,0,0,0,0,0,0
692c543603d5475880b52a009f9fa93a,0,0,1,1,0,0,0,1,1,0,0,0,17,2,3,0,0,0,0,0,0,0
d2a993d55e5948ca88ee08f16cdbb21d,0,0,1,1,0,0,0,1,1,0,0,0,16,,2,0,0,0,0,0,0,0
65102b8c42eaf7478f9165f9e722e18a,0,0,1,1,0,0,0,1,1,0,0,0,14,,2,0,0,0,0,0,0,0
82483846be2b4620bdfe82a3e13c98a9,0,0,1,1,0,0,0,1,1,0,0,0,8,5,3,0,0,0,0,0,0,0
13d5c8c0903e45538a4f8c7ed732fb4c,0,0,1,1,0,0,0,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0
45f0a206b82a435ba99bf5b83648e873,0,0,1,1,0,0,0,1,1,0,0,0,1,,0,0,0,0,0,0,0,0
44de9412f1d14e36be6572c13ab71c12,0,0,1,1,0,0,0,1,1,0,0,0,,,37,0,0,0,0,0,0,0
4171d95ef08c474da0bcb827e519b40d,0,0,1,1,0,0,0,1,1,0,0,0,,,6,0,0,0,0,0,0,0
62aca5e9da6ce94b8b956ad4248e63ff,0,0,1,1,0,0,0,1,1,0,0,0,,,5,0,0,0,0,0,0,0
bdc3ff82908648269b5e6c70757496b3,0,0,1,1,0,0,0,1,1,0,0,0,,,2,0,0,0,0,0,0,0
6ee2cbbee41643c9b07da0901e121b5f,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
dceca4ff4592447ab94502f544e25651,0,0,1,1,0,0,0,1,1,0,0,0,,,1,0,0,0,0,0,0,0
def44e61767942dc81f9bd70d3d99375,0,0,1,1,0,0,0,1,0,1,0,0,1550,,23,0,0,0,0,0,0,0
336244ffd2b5475c9e6710891825ce46,0,0,1,1,0,0,0,1,0,1,0,0,1322,,101,0,0,0,0,0,0,0
1f1e77b98688426396a40d7f967b669b,0,0,1,1,0,0,0,1,0,1,0,0,553,,1,0,0,0,0,0,0,0
3a5a8a95dd3645e8ae185b2bc92e37f6,0,0,1,1,0,0,0,1,0,1,0,0,399,,2,0,0,0,0,0,0,0
85e2149e5b1e44cb8fd454d0644e7336,0,0,1,1,0,0,0,1,0,1,0,0,302,,23,0,0,0,0,0,0,0
dec9f94f93534cc5958dedd2ae9733bf,0,0,1,1,0,0,0,1,0,1,0,0,213,4.5,19,0,0,0,0,0,0,0
890326e1a4c3498796fe30852e9d6679,0,0,1,1,0,0,0,1,0,1,0,0,211,67,10,0,0,0,0,0,0,0
9c3ed3b30b9d4601830e95b5c40e1eb8,0,0,1,1,0,0,0,1,0,1,0,0,108,,7,0,0,0,0,0,0,0
935a49e8e62a41ad91f26a2725b2232f,0,0,1,1,0,0,0,1,0,1,0,0,79,,14,0,0,0,0,0,0,0
b1ca7f9d6a724b62afefde328bd2f3a0,0,0,1,1,0,0,0,1,0,1,0,0,19,,6,0,0,0,0,0,0,0
7d8f6f353d574272acd9eafd47384ed9,0,0,1,1,0,0,0,1,0,1,0,0,1,,1,0,0,0,0,0,0,0
681a2ab826c146cdb8d8823a19d68452,0,0,1,1,0,0,0,1,0,1,0,0,,,10,0,0,0,0,0,0,0
e89da9eb40c64937afc707dfbdb742da,0,0,1,1,0,0,0,1,0,0,1,0,1258,,27,0,0,0,0,0,0,0
94c5fecd4b804070b8f857406e3428f5,0,0,1,1,0,0,0,1,0,0,1,0,757,,13,0,0,0,0,0,0,0
