#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
4592b34ff4a04e029b6c260ed4efe72a,0,1,0,1,0,0,0,227,13.352941176470589,13,0,0,0,0,1
6c023557016f466fa5d3da845272acfe,0,1,0,1,0,0,0,227,227,24,0,0,0,0,0
34109ae6b2934abdac141712e91ff36c,0,1,0,1,0,0,0,227,227,28,0,0,0,0,1
135c02ae1f2a46629fdfd40175e575e6,0,1,0,1,0,0,0,228,228,9,0,0,0,0,0
919516de6150439cafb9c5be98dd056c,0,1,0,1,0,0,0,230,230,14,0,0,0,0,0
5fb5fdcb47fc41d88f499c66714cd490,0,1,0,1,0,0,0,232,38.666666666666664,25,0,0,0,0,1
0ef285634dac4c14b7876d5687fa93f9,0,1,0,1,0,0,0,232,77.33333333333333,24,0,0,0,0,1
3a70220b1bc44a4685b424ed223b474a,0,1,0,1,0,0,0,234,8.357142857142858,38,0,0,0,0,1
1e6330aca2ec465da4c28f01f9b31214,0,1,0,1,0,0,0,234,234,39,0,0,0,2,0
d06d997da8be4908b84dc049d49b6ff7,0,1,0,1,0,0,0,235,235,81,0,0,0,0,0
005097df6742453ba8f7a72555d6b211,0,1,0,1,0,0,0,236,236,5,0,0,0,0,0
d13335eb5c0b4929a916b4e02bd2c17c,0,1,0,1,0,0,0,238,238,3,0,0,0,0,0
9a2273f2e46c4268af3414955157149d,0,1,0,1,0,0,0,238,238,17,0,0,0,0,0
833abe8d2448442d9ddfa6245c3dd95e,0,1,0,1,0,0,0,238,238,23,0,0,0,0,0
1d97041cafb4441d805d79ed23a3d81d,0,1,0,1,0,0,0,239,21.727272727272727,17,0,1,0,0,0
bbcce7ece8d3486fb3df42130e598445,0,1,0,1,0,0,0,239,239,47,0,0,0,0,0
3e352276aea44349bf8a0677b98c22b1,0,1,0,1,0,0,0,240,240,1,0,0,0,0,0
96c40737b68c4fdeba73136cca5b0db3,0,1,0,1,0,0,0,241,241,11,0,0,0,0,0
c22434f4613f4205bb7dfd1c289e43b2,0,1,0,1,0,0,0,241,241,29,0,0,0,0,0
2a09b7fb6dbf46219eb7e405c9b5c2e3,0,1,0,1,0,0,0,245,245,14,0,0,0,0,0
03bf3cef27ea40698c7604e62985c9d0,0,1,0,1,0,0,0,247,123.5,18,0,0,0,0,0
8253f7104995425293a24d6dfa0a0bc1,0,1,0,1,0,0,0,247,247,6,0,0,0,0,0
ff064eaf51444b88a14d0314f8be65ad,0,1,0,1,0,0,0,248,248,3,0,0,0,0,0
92115875fcca47cda8323d938805e0c2,0,1,0,1,0,0,0,248,248,18,0,0,0,0,0
665958d9c6aa419c84768afe55ff6d28,0,1,0,1,0,0,0,250,11.904761904761905,25,0,0,0,0,1
a109a2c35cfd47938120b5030e8bc80d,0,1,0,1,0,0,0,251,251,29,0,0,0,0,0
e71cc9061536469a807f7803bf2fefef,0,1,0,1,0,0,0,251,251,35,0,0,0,0,1
76d179da3cc3458b9a6f61bc23df3b65,0,1,0,1,0,0,0,252,42,1,0,0,0,0,0
1459046a199c4459944075689563d920,0,1,0,1,0,0,0,252,252,8,0,0,0,0,0
bb7ea0ea801d46048fbf11e58d2b23c2,0,1,0,1,0,0,0,253,36.142857142857146,76,0,0,0,0,0
85334d59437e44bd87e48dea9b9bfb4b,0,1,0,1,0,0,0,253,253,16,0,0,0,0,0
824e4b70cf5e4c5f8eee883b5a1e91fc,0,1,0,1,0,0,0,254,254,0,0,0,0,0,0
7ea21dc042a344ae9ac09b1997fd3203,0,1,0,1,0,0,0,254,254,23,0,0,0,0,0
5678091e9b454697a1a6369af2d8d33a,0,1,0,1,0,0,0,256,8.827586206896552,35,0,0,0,0,0
ededc9e0d0aa4488b6eaa8daa573415b,0,1,0,1,0,0,0,256,11.636363636363637,31,0,0,0,0,0
8b84f7c8cab94e31b632eb3fe018a0e9,0,1,0,1,0,0,0,256,256,18,0,0,0,0,1
c3853f269e7442e2af2c908a566155b8,0,1,0,1,0,0,0,258,258,21,0,0,0,0,0
41743059169a43aa97ae51050eb02bd3,0,1,0,1,0,0,0,258,258,31,0,0,0,0,0
aa83f41741bc49f8b9627315e7b06e06,0,1,0,1,0,0,0,259,259,0,0,0,0,0,0
372f2662703c4e568577124a985f7821,0,1,0,1,0,0,0,259,259,10,0,0,0,0,0
0175b39e4f264d31bef54b3d7f9855e5,0,1,0,1,0,0,0,260,130,27,0,0,0,0,1
48d11dc15027452b8c9aea7029376a88,0,1,0,1,0,0,0,260,260,10,0,0,0,0,0
a7cc0f92535946eab1cf27aba6ee4271,0,1,0,1,0,0,0,261,261,30,0,0,0,0,0
1cb62553031a48a4b9bbeb798a1bad72,0,1,0,1,0,0,0,266,9.851851851851851,24,0,0,0,0,0
375a29dd8cce4862833aa3f36b2e3a9e,0,1,0,1,0,0,0,266,133,12,0,0,0,0,0
