MC1ID,Paid Order Exists,Try Exists,Total Visits,New Visitors,Return Visitors,Enter PDP from Office.com,Enter PDP from Store,Enter PDP from O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks on OverviewTab,Link Clicks on TechSpecsTab,Link Clicks on ReviewTab,Link Clicks on FAQTab,Link Clicks on AddtoCartButton,Link Clicks on Trial link
db95100acca04749b3358c9f2ca3b381,0,0,1,0,1,1,0,0,56,6.222222222,15,0,0,0,0,0,0
bc7903333215c9449f889cde1338bbc2,0,0,1,0,1,1,0,0,23,7.666666667,4,0,0,0,0,0,0
4565610a17de44e1a48d7be5ab581bd9,0,0,1,0,1,1,0,0,21,21,2,0,0,0,0,0,0
fecce5633df84d088c846bcf609c6ec2,0,0,1,0,1,1,0,0,15,15,3,0,0,0,0,0,0
13eface21ce64a90a2a99f61fe259836,0,0,1,0,1,1,0,0,12,12,2,0,0,0,0,0,0
a52f26f434954a839bcb50f2f283174e,0,0,1,0,1,1,0,0,9,9,2,0,0,0,0,0,0
d4295e85800244dca71e47d1f4271871,0,0,1,0,1,1,0,0,9,9,1,0,0,0,0,0,0
1a999c039cec435e89da2d4c64d16fd7,0,0,1,0,1,1,0,0,5,5,2,0,1,1,0,0,0
a809dfce5af342d1b365857e9b6b844a,0,0,1,0,1,1,0,0,5,5,2,0,0,0,0,0,0
02b389dfd40945398dc1d4692c33c361,0,0,1,0,1,1,0,0,3,3,1,0,0,0,0,0,0
117df72d91ce468eaad5d52354ab9101,0,0,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0
9dd73242816f48199194f46bbb124676,0,0,1,0,1,1,0,0,,,41,0,0,0,0,0,0
5aba50b78da44551b8193a36ee4259db,0,0,1,0,1,1,0,0,,,5,0,0,0,0,0,0
ad7e24f3b27d44099f934beab3c078ab,0,0,1,0,1,1,0,0,,,5,0,0,0,0,0,0
433791e6a28442849872e189484102c0,0,0,1,0,1,1,0,0,,,0,0,0,0,0,0,0
d29ba6bfe7094a228102b05232d71f55,0,0,1,0,1,0,1,0,7814,7814,16,1,0,1,0,0,0
92bd5febf4fb44e580d404320da45478,0,0,1,0,1,0,1,0,5555,5555,70,0,1,0,0,0,0
72ff732b3b5d4369b8efaf3717153852,0,0,1,0,1,0,1,0,3281,3281,109,0,0,0,0,0,7
43438ebf02204d708cc9b231a0d39120,0,0,1,0,1,0,1,0,2876,2876,44,0,0,0,0,1,0
a692c83f1820497f9a04fa9152062c0b,0,0,1,0,1,0,1,0,2336,2336,140,0,0,0,0,2,0
18a58b0d9cb74b2fae0700dd54dcae80,0,0,1,0,1,0,1,0,2163,2163,81,0,0,0,0,0,22
2e72b47d05004e179828a6163557bf75,0,0,1,0,1,0,1,0,2155,2155,59,1,0,1,0,1,0
a29eb7f5c86a42778fd70ad44628b946,0,0,1,0,1,0,1,0,1625,1625,34,0,0,0,0,0,0
21accd37d8f84c4bbd72c7920e261e35,0,0,1,0,1,0,1,0,1555,1555,10,0,2,0,1,0,0
a3a0f31325184383a7beccaa422ef9b9,0,0,1,0,1,0,1,0,1533,1533,25,0,1,0,0,0,0
8d99a2dceb114ec3aa4da7746b718c6d,0,0,1,0,1,0,1,0,1395,1395,41,0,0,0,0,1,0
6be2aba0d0be4be5bb1ce0008d9fc7d5,0,0,1,0,1,0,1,0,1262,1262,94,0,0,0,0,0,0
5e256d27477e4c3f872f3bedf7e69ad5,0,0,1,0,1,0,1,0,1248,1248,13,0,0,0,0,0,0
6adcf3a195f5469fb5a9d4d60cbafb30,0,0,1,0,1,0,1,0,1098,1098,8,0,0,0,0,0,0
6115bfba51df42d6877fc8374d664ad9,0,0,1,0,1,0,1,0,1084,1084,4,0,0,0,0,0,0
b86a640a2fcf41dbb7ebf31aac66e796,0,0,1,0,1,0,1,0,936,117,60,0,0,0,0,0,0
7a9dc4295d11407099f94fb8ff9336bf,0,0,1,0,1,0,1,0,932,932,9,0,0,0,0,0,0
a1a170fe7a2247e0972764d5e4072be1,0,0,1,0,1,0,1,0,843,84.3,51,0,0,0,0,0,0
