#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
dc45ab7a690645729092914225a2e646,1,2,1,0,0,0,1,179,119.33333333333333,182,0,0,0,0,6
3f0dab7d033c49d4af1d83aaf1bfc925,1,2,1,0,0,0,0,840.5,840.5,205,0,0,0,0,1
5d6ff0ae6551459ab118cee9fb82f1e9,1,2,1,0,0,0,0,805,805,36,0,0,0,0,0
2420e118edb94d8ba95ab7a642ec0b22,1,2,1,0,0,0,0,783.5,522.3333333333334,95,0,0,0,0,1
66c3f2f5eb814887a561ee5202db59b3,1,2,1,0,0,0,0,664,45.793103448275865,100,0,0,0,0,0
07d3f8fe28714c66a88177247bf386e7,1,2,1,0,0,0,0,483.5,483.5,51,0,0,0,0,1
f59f63db175a446d940595951d4f0097,1,2,1,0,0,0,0,427,213.5,63,0,0,0,0,1
e42fea2ee5d94891bf028144f835a967,1,2,1,0,0,0,0,326,22.482758620689655,83,0,0,0,0,0
b61427213c134f609763eab9d0fa2e34,1,2,1,0,0,0,0,302,16.324324324324323,100,0,0,0,0,2
bbca7f807bda4a03996bcb75f95f3d44,1,2,1,0,0,0,0,171.5,171.5,47,0,0,0,0,0
6adb0a43b50f478cb04323143fa48158,1,2,1,0,0,0,0,113,56.5,33,0,0,0,0,0
6ef6fb0bc1fb44a7a6a78daf9b1bfca0,1,2,0,1,1,1,0,1039.5,1039.5,77,0,0,0,0,0
a6b1f5de302840aba66fc79f931a2551,1,2,0,1,1,1,0,367.5,367.5,62,0,0,0,0,0
f829c4e7ff804b3588e933df6be0587b,1,2,0,1,1,0,1,578,578,84,0,0,0,0,0
fb07ae9b0b2e451a88fe6d5331a32ee2,1,2,0,1,0,2,0,837.5,62.03703703703704,151,0,0,0,0,0
ebc2d25abc8f45d397aab092b64e2992,1,2,0,1,0,2,0,748,748,13,0,0,0,0,0
4a7d9b2118004587a27e63f1ef94a977,1,2,0,1,0,2,0,648,648,66,0,0,0,0,0
d9b9d9b677774f8582336fa0e9cb2a62,1,2,0,1,0,2,0,362,72.4,63,0,0,0,0,0
9fbaf508a44641f8b8e1bc87c9ff6b9e,1,2,0,1,0,2,0,351,41.294117647058826,147,0,0,0,0,0
13fcfa605b9b4fbc82ef88ec4750fca9,1,2,0,1,0,2,0,320,18.285714285714285,105,0,0,0,0,6
0d3e1bab859742f6b64e076ba3ad3f88,1,2,0,1,0,2,0,40,40,10,0,0,0,0,0
5f2789c7ce904cb5a1c61b7481024666,1,2,0,1,0,2,0,5.5,5.5,5,0,0,0,0,0
1fe0b8e1eea54dbf97aa6fd7b115804a,1,2,0,1,0,1,1,936,936,104,0,0,0,0,1
154aee94e4aa43d9a54c1f1c7b974260,1,2,0,1,0,1,1,624,624,37,0,0,0,0,1
5448e93a54e14ea784303ca321f57b41,1,2,0,1,0,1,1,537.5,537.5,27,0,0,0,0,2
b6e7427aa1f248b5ab12c8b12ff1e4a4,1,2,0,1,0,1,1,478.5,478.5,144,0,0,0,0,0
