#=================================================================
# O365 Home - Try
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US, Free Revenue"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
7171bf2979644258955261f66c6ca1ef,0,1,1,1,0,0,0,1,0,0,1,0,219,,31,0,0,0,0,0,0,0
2592d3a7a80d40dea2e071493bca2efa,0,1,1,1,0,0,0,1,0,0,1,0,148,,32,0,0,0,0,0,0,0
679887b570ff4e2d84bdbc71593c568b,0,1,1,1,0,0,0,1,0,0,1,0,124,20,26,0,0,0,0,0,1,0
1e07b617750a41458a2ac232205c6895,0,1,1,1,0,0,0,1,0,0,1,0,58,,16,0,0,0,0,0,0,0
ecf6af9eb18b4c658baca9967f671a91,0,1,1,1,0,0,0,1,0,0,0,1,2088,,32,0,0,0,0,0,2,0
4d778b0f5d1e46bbaa4a577c982d24dd,0,1,1,1,0,0,0,1,0,0,0,1,316,,45,0,0,0,0,0,0,0
203a9590f4f745cd9a4ea9991094418b,0,1,1,1,0,0,0,1,0,0,0,1,63,,18,0,0,0,0,0,0,0
3d056ec201e74c899dad260d4cf5a292,0,1,1,1,0,0,0,1,0,0,0,1,59,,18,0,0,0,0,0,0,0
febc0183a8f64347be76fe92095106d5,0,1,1,1,0,0,0,1,0,0,0,0,108,,55,0,0,0,0,0,0,0
201153cb3e5949b89a0dba610f08847e,0,1,1,1,0,0,0,1,0,0,0,0,43,,14,0,0,0,0,0,0,0
b63d03945a4a40e7a28c50a475eae358,0,1,1,1,0,0,0,0,1,0,0,0,1976,,22,0,0,0,0,0,0,0
480cbc84caf24c4bbfd144d02be0882d,0,1,1,1,0,0,0,0,1,0,0,0,801,,32,0,0,0,0,0,0,0
1c5198a3dd4844648818b1dab328ed2d,0,1,1,1,0,0,0,0,1,0,0,0,305,18,17,0,0,0,0,1,0,0
8321d1083b1f45e4b6555e380f6d4ef2,0,1,1,1,0,0,0,0,1,0,0,0,60,,19,0,0,0,0,0,0,0
4798b213b09c4bbfae3b399f685af137,0,1,1,1,0,0,0,0,0,1,0,0,2737,300,39,0,0,0,0,0,0,0
173ca82fcff64b08ae9e7c5194cce7ec,0,1,1,1,0,0,0,0,0,1,0,0,1572,,7,0,0,0,0,0,0,0
320f38eae67e4c5e9070435b9fa2b904,0,1,1,1,0,0,0,0,0,1,0,0,387,127,19,0,0,0,0,0,0,0
d8831dbbbc904eb58da46ef5bbc0ed41,0,1,1,1,0,0,0,0,0,1,0,0,382,19,52,0,0,0,0,0,0,0
76670849ba844924844d75dc8c99ae29,0,1,1,1,0,0,0,0,0,1,0,0,130,,37,0,0,0,0,0,0,0
340f160841fe430a9ac241616b3b5087,0,1,1,1,0,0,0,0,0,1,0,0,111,,27,0,0,0,0,0,0,0
bbe227a297bd469383de6246a64fb150,0,1,1,1,0,0,0,0,0,0,0,1,1381,,45,0,0,0,0,0,6,0
f385bf556c9d4923b78a1c606f0a595e,0,1,1,1,0,0,0,0,0,0,0,0,2532,43,127,0,0,0,0,11,0,0
e4327a2fc0b14bd782d4f1ef8f844204,0,1,1,0,1,0,1,0,1,0,0,0,4,,6,0,0,0,0,0,0,0
1c425e89c3064e239514f9c886378d5f,0,1,1,0,1,0,1,0,0,1,0,0,376,,27,0,0,0,0,0,0,0
de1954cb3f34428999a3994f0b7d8ab9,0,1,1,0,1,0,1,0,0,1,0,0,229,,10,0,0,0,0,0,0,0
7dd1f56a41d4744d82a700bfb852022c,0,1,1,0,1,0,1,0,0,1,0,0,33,,8,0,0,0,0,0,0,0
19f7e5397e7440d0a77c571cef67b819,0,1,1,0,1,0,1,0,0,1,0,0,5,,4,0,0,0,0,0,0,0
5241bd3085b6436a9e744292df46561b,0,1,1,0,1,0,1,0,0,0,1,0,292,,28,0,0,0,0,0,0,0
80eb22f942784b2c934bd96e4d31ca48,0,1,1,0,1,0,1,0,0,0,1,0,172,24,20,0,0,0,0,0,5,0
befd8a018b034840ac41ef33cc2b5c24,0,1,1,0,1,0,1,0,0,0,1,0,45,,15,0,0,0,0,0,0,0
