#=================================================================
# O365 Home - All users _6_7
# Date: May 20 2019 - May 21 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Metrics - No Device orders
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Visits,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),RPV (Revenue/Visitor)
,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
,Paid Orders_SJ (Visit),Free Revenue,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,O&O,Direct,Organic Search,Paid Search,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try,RPV (Revenue/Visitor)
a77fb274e85f4c2f8357f41cdecf6e08,0,0,1,0,1,0,0,1,0,1,0,0,619,,20,0,0,0,0,0,0,0
07ad69e6db2b435285b6cf1474625f41,0,0,1,0,1,0,0,1,0,1,0,0,587,,25,0,0,0,0,0,2,0
2a3393bf433c41328a057848a58d037e,0,0,1,0,1,0,0,1,0,1,0,0,586,,2,0,0,0,0,0,0,0
f3f96078bdfd4a2c8a49f965ba41fe33,0,0,1,0,1,0,0,1,0,1,0,0,477,3,8,0,0,0,0,0,0,0
3c17ddf5758646f2817ebabd9306ae7f,0,0,1,0,1,0,0,1,0,1,0,0,460,,32,0,0,0,0,0,0,0
3712ae4557354d7aac26c7d92d067979,0,0,1,0,1,0,0,1,0,1,0,0,459,,24,0,0,0,0,0,0,0
7c7ecec310514012a6edb9c99d841cdb,0,0,1,0,1,0,0,1,0,1,0,0,453,412,13,0,0,0,0,0,3,0
bf0f2f13ac4049c2a8717ebc2ba7b16f,0,0,1,0,1,0,0,1,0,1,0,0,430,,3,0,0,0,0,0,0,0
68eadd16bcf048bdb24af034ef7df649,0,0,1,0,1,0,0,1,0,1,0,0,410,21,4,0,0,0,0,0,0,0
8f0141c6e97d4505913fb64ce353aae8,0,0,1,0,1,0,0,1,0,1,0,0,405,,13,0,0,0,0,0,0,0
b940260f71664ab794de29d633339ce4,0,0,1,0,1,0,0,1,0,1,0,0,397,3,24,0,1,0,1,0,0,0
42e54aea3c40463b9f9c3eb72502d861,0,0,1,0,1,0,0,1,0,1,0,0,393,,5,0,0,0,0,0,0,0
310d909e26e64dbe8788ae4ec8b5b465,0,0,1,0,1,0,0,1,0,1,0,0,381,341,2,0,0,0,0,0,0,0
d62fc4e78d6b457ca11762ac867b950b,0,0,1,0,1,0,0,1,0,1,0,0,369,,47,0,0,0,0,0,0,0
1f6fec75765a494fafd50e954ff8c2a5,0,0,1,0,1,0,0,1,0,1,0,0,349,,48,0,0,0,0,1,0,0
3a5e397596bb40999e8327d5eeb71427,0,0,1,0,1,0,0,1,0,1,0,0,311,,6,0,0,0,0,0,0,0
aaeed1c63a8443f2815417a7ffaaaf1f,0,0,1,0,1,0,0,1,0,1,0,0,304,98,26,0,0,0,0,3,0,0
2b2d6c0a97c94ab9a220ab9600512a0d,0,0,1,0,1,0,0,1,0,1,0,0,270,9,43,0,0,0,0,0,0,0
0c5613c0f84243a3891617b529b2a774,0,0,1,0,1,0,0,1,0,1,0,0,216,4,5,0,0,0,0,0,0,0
5335b03c40f74c9aabe2db7d41ce3780,0,0,1,0,1,0,0,1,0,1,0,0,206,,3,0,0,0,0,0,0,0
7b8dab28b336480faf7f8c713473ccd8,0,0,1,0,1,0,0,1,0,1,0,0,188,23,13,0,0,0,0,0,0,0
b5f2701775c74fecab6852e0b60e4ac6,0,0,1,0,1,0,0,1,0,1,0,0,184,56,11,0,0,0,0,0,0,0
eaf2c84491924d23b0dd1aa96c2832c2,0,0,1,0,1,0,0,1,0,1,0,0,145,,5,0,0,0,0,0,0,0
2cb5d7ea477c42509f2f9633314e990a,0,0,1,0,1,0,0,1,0,1,0,0,141,2,5,0,0,0,0,0,0,0
dbeeef539ac24c0dbbc0b8009e6c98b6,0,0,1,0,1,0,0,1,0,1,0,0,138,,28,0,0,0,0,0,0,0
c2c53ab7418f448c86276fa4db5f5410,0,0,1,0,1,0,0,1,0,1,0,0,133,,5,0,0,0,0,0,0,0
1d423631b063411fb8bce64d16aae4b0,0,0,1,0,1,0,0,1,0,1,0,0,123,6,5,0,0,0,0,0,0,0
d8a9ed14d6bb4a32ab31ea572132ecde,0,0,1,0,1,0,0,1,0,1,0,0,119,,13,0,0,0,0,1,0,0
62a49faf9d364926b510ba28a91b9576,0,0,1,0,1,0,0,1,0,1,0,0,118,,5,0,0,0,0,0,0,0
1ccad31d4c7f4c048e23f739dbe933d7,0,0,1,0,1,0,0,1,0,1,0,0,110,25,3,0,0,0,0,0,0,0
811b1aaddf8d4c1fb4aae2c4d7485465,0,0,1,0,1,0,0,1,0,1,0,0,107,18,24,0,0,0,0,0,0,0
c7e6eca412ff401688cbd810a1b9875e,0,0,1,0,1,0,0,1,0,1,0,0,96,61,7,0,0,0,0,0,0,0
d03b18bdb0b642118394aba3ebab372f,0,0,1,0,1,0,0,1,0,1,0,0,90,,7,0,0,0,0,0,2,0
35dc7063e2a54b9280674e9a5975fb4a,0,0,1,0,1,0,0,1,0,1,0,0,88,,22,0,0,0,0,0,0,0
288b34d9405f414dbf256111a0ea1b57,0,0,1,0,1,0,0,1,0,1,0,0,83,,7,0,0,0,0,0,0,0
b88fa809ddc944018af10137e983ba74,0,0,1,0,1,0,0,1,0,1,0,0,71,,4,0,0,0,0,1,0,0
13e5f801eab74a0a8cbf5ec4f5950657,0,0,1,0,1,0,0,1,0,1,0,0,67,,4,0,0,0,0,0,0,0
73d429e0b72641a78ed469d7d31f873a,0,0,1,0,1,0,0,1,0,1,0,0,60,,9,0,0,0,0,0,0,0
2bf2d599b424413f8bd312197deeb6df,0,0,1,0,1,0,0,1,0,1,0,0,59,,12,0,0,0,0,2,0,0
df144bc69c494a21857f08d1f65525ed,0,0,1,0,1,0,0,1,0,1,0,0,58,46,3,0,0,0,0,0,0,0
e65329d866f144f089eea9f1d35c147f,0,0,1,0,1,0,0,1,0,1,0,0,47,,1,0,0,0,0,0,0,0
d020299297344573b99018c7eff7ee35,0,0,1,0,1,0,0,1,0,1,0,0,46,,1,0,0,0,0,0,0,0
e4623fb55d1c468b9b049ec50624a702,0,0,1,0,1,0,0,1,0,1,0,0,44,,4,0,0,0,0,0,0,0
4b3504304fa04e0d95b5b6278c98f371,0,0,1,0,1,0,0,1,0,1,0,0,43,,10,0,0,0,0,0,0,0
7a7386a0ac3e4fb0802623fee3b85ef9,0,0,1,0,1,0,0,1,0,1,0,0,41,40,1,0,0,0,0,0,0,0
d30e7176241f4a5991798b33f04c286a,0,0,1,0,1,0,0,1,0,1,0,0,35,,2,0,0,0,0,0,0,0
c600b642cc724d6bacc67df65115fb5e,0,0,1,0,1,0,0,1,0,1,0,0,34,15,12,0,0,0,0,0,0,0
7ed7b36930b14725ac85dfb15eb013ff,0,0,1,0,1,0,0,1,0,1,0,0,30,,3,0,0,0,0,0,0,0
6e16713629ee45edae8976deb347331f,0,0,1,0,1,0,0,1,0,1,0,0,29,1,6,0,0,0,0,0,0,0
61583cf613aa4508bf86678c347598dc,0,0,1,0,1,0,0,1,0,1,0,0,27,,2,0,0,0,0,0,0,0
7f18a53b244c4739829de7af0edfd2cd,0,0,1,0,1,0,0,1,0,1,0,0,21,,4,0,0,0,0,0,0,0
82d0227e5437448a9b4cd66433a591f7,0,0,1,0,1,0,0,1,0,1,0,0,18,,4,0,0,0,0,0,0,0
02ed1d28f887497993adbf85f78e6caf,0,0,1,0,1,0,0,1,0,1,0,0,16,,2,0,0,0,0,0,0,0
9261ec95c23d49399bbed9911fdc0d43,0,0,1,0,1,0,0,1,0,1,0,0,15,,4,0,0,0,0,0,0,0
7d2f732417eb447aab7bcfe503fe5d84,0,0,1,0,1,0,0,1,0,1,0,0,13,,9,0,0,0,0,0,0,0
5895f202e1974d299f15c8c3d061b896,0,0,1,0,1,0,0,1,0,1,0,0,13,,4,0,0,0,0,0,0,0
a20de9a9600f4ac682f8ad83d08b7250,0,0,1,0,1,0,0,1,0,1,0,0,13,,2,0,0,0,0,0,0,0
068c0cd1494c4a689a51726cec14e306,0,0,1,0,1,0,0,1,0,1,0,0,13,,2,0,0,0,0,0,0,0
39c808bf10b349edb8ac9d3188b518c8,0,0,1,0,1,0,0,1,0,1,0,0,12,,2,0,0,0,0,0,0,0
1d15bfd5dada498eb33f7a2a2b352296,0,0,1,0,1,0,0,1,0,1,0,0,12,,2,0,0,0,0,0,0,0
a51217e8c28e044697cd2bec836f5d93,0,0,1,0,1,0,0,1,0,1,0,0,9,,2,0,0,0,0,0,0,0
fec3865210744c85b9d35ec7f57818c2,0,0,1,0,1,0,0,1,0,1,0,0,7,7,2,0,0,0,0,0,0,0
8fc907e6c80149ac97c8eaee985c8ea9,0,0,1,0,1,0,0,1,0,1,0,0,7,7,1,0,0,0,0,0,0,0
70ab939b96bd41e9af4cb08c10a5effc,0,0,1,0,1,0,0,1,0,1,0,0,7,,3,0,0,0,0,0,0,0
c196e4db83fe47e98fac49f477b3ee21,0,0,1,0,1,0,0,1,0,1,0,0,6,,2,0,0,0,0,0,0,0
2649f83266a341b593a07ef225623fac,0,0,1,0,1,0,0,1,0,1,0,0,6,,1,0,0,0,0,0,0,0
ecf23e9943d64e949e7dd3b0fd268fdc,0,0,1,0,1,0,0,1,0,1,0,0,6,,1,0,0,0,0,0,0,0
c330ea45b48d46d2ae5b13e288aa9ced,0,0,1,0,1,0,0,1,0,1,0,0,5,5,1,0,0,0,0,0,0,0
aed63dcad1864abbb834f71ee58e23c8,0,0,1,0,1,0,0,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0
832d0bf4fe164eef8e3ea56982693229,0,0,1,0,1,0,0,1,0,1,0,0,5,,1,0,0,0,0,0,0,0
d8c62fd9f7c98f4fb0335e0f0d58d66d,0,0,1,0,1,0,0,1,0,1,0,0,5,,1,0,0,0,0,0,0,0
0109cd79dd474b0fa3fb075a932abc40,0,0,1,0,1,0,0,1,0,1,0,0,1,,2,0,0,0,0,0,0,0
3f5a04490f6f45329bf7e529c6cda53b,0,0,1,0,1,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0
9c8c149108684a8388a3099f53ee02fa,0,0,1,0,1,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0
cbeadd26785d4605b62f90f4af0b0c7c,0,0,1,0,1,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0
