#=================================================================
# Freeform
# Date: May 12 2019 - May 25 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton
f9bd652d762f449c93ef12ad647d8200,1,1,1,0,0,1,0,540,540,64,0,0,0,0,0
c9c10db6632d41629098defe70a937d2,1,1,1,0,0,1,0,536,268,62,0,0,0,1,0
0a50406e18014eb6a7e5d901d53c5043,1,1,1,0,0,1,0,535,178.33333333333334,33,0,0,0,0,0
65ebddaa32594f72bf27840d77647f8f,1,1,1,0,0,1,0,527,527,39,0,0,0,0,0
e750a6cdaeff4b0f8e2e7dd1882c1d10,1,1,1,0,0,1,0,525,525,12,0,0,0,0,0
04c8161dbcd54de19f2684dc8e8b07ad,1,1,1,0,0,1,0,522,522,30,0,0,0,0,1
c48b497654b4497ab78db5e0db6471a1,1,1,1,0,0,1,0,522,522,27,0,0,0,0,0
fe572ddf8a4c4782bba2498c34d80f82,1,1,1,0,0,1,0,518,518,9,0,0,0,0,0
43017e7d8bc343ebbc372915f5ae3185,1,1,1,0,0,1,0,518,518,7,0,0,0,0,0
8d89d1613ef842d18a79029c0bd4dcac,1,1,1,0,0,1,0,506,506,28,0,0,0,0,2
a8b9aefab24444c3909641a2819114a8,1,1,1,0,0,1,0,501,100.2,55,0,0,0,0,2
92e6e7eeea044d09a3b467546cebd36a,1,1,1,0,0,1,0,501,41.75,97,0,0,0,0,0
4fb68c508f0d481f90de114b4b3e1930,1,1,1,0,0,1,0,499,499,43,0,0,0,0,1
460752eaf78249d0a1428916f1fb5c4f,1,1,1,0,0,1,0,490,490,59,0,0,0,0,0
2bdb7d53f41e411fabb30aef31a18c3b,1,1,1,0,0,1,0,490,245,34,0,0,0,0,0
5f73778965174d34b1e6a4483ae8fd69,1,1,1,0,0,1,0,489,489,119,0,0,0,0,0
703f0ac08a364a85a252e7e091b6fe9e,1,1,1,0,0,1,0,485,80.83333333333333,32,0,1,0,0,2
50cdb1f13591490e884be80531c94b4d,1,1,1,0,0,1,0,483,120.75,15,0,0,0,0,0
9e71dc1cbd614fe38ffd7f8c280b3451,1,1,1,0,0,1,0,476,476,28,0,0,0,0,0
9b4f10f383874fd292a3be5a85eb92c2,1,1,1,0,0,1,0,467,467,32,0,0,0,0,0
1540ad4bf7374c5abfd12ad2c353bba6,1,1,1,0,0,1,0,463,463,36,0,0,0,0,0
13eadae69d1a468aa12be97a84ed67cf,1,1,1,0,0,1,0,459,459,31,0,0,0,0,0
3d07da5f0e424579b8f6c2186f3e7d74,1,1,1,0,0,1,0,457,457,8,0,0,0,0,0
