#=================================================================
# Freeform
# Date: May 20 2019 - May 20 2019
"# Segments: Vtr: Non-Microsoft Traffic, Exclude Revenue > 10000, Market - EN-US"
#=================================================================


##############################################
# Freeform Table
##############################################
,Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit),Delocalized O365 Home (Visit)
,Order Exists,Order Exists,Device Orders + Office (Visitor),Visits,New Visitors,Return Visitors,Visits,Visits,Visits,Time Spent per Visit (seconds),Delocalized O365 Home (HIT),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4),Link Clicks (e4)
,Visits,Visits,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
,Paid Orders_SJ (Visit),Free Revenue,Visits,Visits,New Visitors,Return Visitors,Office.com,Store,O365 Web,Time Spent per Visit (seconds),Average Time Spent on Site (seconds),Link Clicks (e4),tab-OverviewTab,tab-TechSpecsTab,tab-ReviewsTab,tab-FAQTab,AddToCartButton,products.office.com/*-*/try
ba52971d5aeb4ae2af15ed50fdf7ec58,0,0,0,1,0,1,0,1,0,4,4,1,0,1,0,0,0,0
095b13ee22754ed7a9e9b4de40d0756d,0,0,0,1,0,1,0,1,0,4,,1,0,0,0,0,0,0
4617bfaa788e478f806bf17aab688373,0,0,0,1,0,1,0,1,0,3,3,0,0,0,0,0,0,0
0eb02f1f60e5464b9117b0a90916274c,0,0,0,1,0,1,0,1,0,2,2,2,0,0,0,0,0,0
39b6ff5a0ce740d9acc86ad80c09b2eb,0,0,0,1,0,1,0,1,0,2,2,2,0,0,0,0,0,0
c6efae1109b5426aa40352ad89bd9662,0,0,0,1,0,1,0,1,0,2,2,1,0,0,0,0,0,0
49ec7c513e1247639a74cf9ef7a36068,0,0,0,1,0,1,0,1,0,2,2,0,0,0,0,0,0,0
8a6c158c0853416b9715b316cb8be716,0,0,0,1,0,1,0,1,0,2,,6,0,0,0,0,0,0
14830472399645228b5fcce18f518e73,0,0,0,1,0,1,0,1,0,2,,1,0,0,0,0,0,0
a5308328a5624ecaa08be9cf2bc703c2,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
7415c0fe23bb4204b6ed65a44420c14b,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
a4b3846bb5b743b1ba3b8ed5814f32c0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
a3bf04477ca6144e99e218a678fae113,0,0,0,1,0,1,0,1,0,,,13,0,0,0,0,0,0
b4f072b6c2e1476f97625309add26fdf,0,0,0,1,0,1,0,1,0,,,11,0,0,0,0,0,0
7057cd9ba11a4e1eab650e1db22ebf37,0,0,0,1,0,1,0,1,0,,,11,0,0,0,0,0,0
6a18c14fa75843d28a80fa3c94151a3a,0,0,0,1,0,1,0,1,0,,,9,0,0,0,0,0,0
8ed56d604c46458280a63f641d44e21e,0,0,0,1,0,1,0,1,0,,,9,0,0,0,0,0,0
97e1df10986a41f79f052f417e368b5e,0,0,0,1,0,1,0,1,0,,,9,0,0,0,0,0,0
6c06001898a44e6ca683e3cdf3001873,0,0,0,1,0,1,0,1,0,,,7,0,0,0,3,0,0
e6794e03ebbb4e639e6402004d057868,0,0,0,1,0,1,0,1,0,,,6,0,0,0,0,0,0
70bc2ff8dabe422fa7193a92e45697c3,0,0,0,1,0,1,0,1,0,,,5,0,0,0,0,0,0
028392a8edd64718a09dfcb52417f748,0,0,0,1,0,1,0,1,0,,,4,0,0,0,0,0,0
294ed513f1294bce83c044827f51e466,0,0,0,1,0,1,0,1,0,,,4,0,0,0,0,0,0
91132f8a4ef74f30b6c4af1591188486,0,0,0,1,0,1,0,1,0,,,4,0,0,0,0,0,0
70e31df64d0a4837b3b3614cc5a961c9,0,0,0,1,0,1,0,1,0,,,3,0,0,0,0,0,0
c862e8e6c05e4154bf0cb45b81a9564b,0,0,0,1,0,1,0,1,0,,,2,0,0,0,0,0,0
7d1475b822ef4c22a744a7e6a819e9fc,0,0,0,1,0,1,0,1,0,,,2,0,0,0,0,0,0
769ea898a04149728f71fc6dd238ed63,0,0,0,1,0,1,0,1,0,,,1,0,0,0,0,0,0
aae8caefecac48509247bda17c9f9786,0,0,0,1,0,1,0,1,0,,,1,0,0,0,0,0,0
22e83f90a0b04d29a514c05ba6263d49,0,0,0,1,0,1,0,1,0,,,1,0,0,0,0,0,0
ae859f9cc588422ba728ea36dce75b04,0,0,0,1,0,1,0,1,0,,,1,0,0,0,0,0,0
31b64f8b8de24707a6c8db40b1b79785,0,0,0,1,0,1,0,1,0,,,1,0,0,0,0,0,0
256058be464d4bd88506fec17765c7af,0,0,0,1,0,1,0,1,0,,,0,0,0,0,0,0,0
0cd6380be3554051b2272f307600f7c5,0,0,0,1,0,1,0,1,0,,,0,0,0,0,0,0,0
